date,inflation,unemployment,interest_rate,industrial_production,log_inflation,log_industrial_production
1963-06-01,30.61,5.6,2.99,27.0622,3.421326752957321,3.2981379202509182
1963-07-01,30.69,5.6,3.02,26.9545,3.4239368686316447,3.294150259297347
1963-08-01,30.75,5.4,3.49,27.0083,3.4258899942525267,3.2961442261717604
1963-09-01,30.72,5.5,3.48,27.2776,3.4249139082794713,3.306065852565509
1963-10-01,30.75,5.5,3.5,27.4661,3.4258899942525267,3.312952516966532
1963-11-01,30.78,5.7,3.48,27.6007,3.426865128410733,3.317841134720327
1963-12-01,30.88,5.5,3.38,27.5469,3.4301087251565754,3.315890006581746
1964-01-01,30.94,5.6,3.48,27.7892,3.43204984514492,3.324647456006476
1964-02-01,30.91,5.4,3.48,27.9777,3.431079756144025,3.3314077642860487
1964-03-01,30.94,5.4,3.43,27.9777,3.43204984514492,3.3314077642860487
1964-04-01,30.95,5.3,3.47,28.4355,3.432372999130605,3.3476383645675925
1964-05-01,30.98,5.1,3.5,28.597,3.4333418349887226,3.3533018172190356
1964-06-01,31.01,5.2,3.5,28.6778,3.4343097331123578,3.3561233042815006
1964-07-01,31.02,4.9,3.42,28.8663,3.4346321577483927,3.362674824741086
1964-08-01,31.05,5,3.5,29.0548,3.435598808379488,3.369183702006561
1964-09-01,31.08,5.1,3.45,29.1625,3.436564525499447,3.3728836373475484
1964-10-01,31.12,5.1,3.36,28.7586,3.4378506993101907,3.3589368529475534
1964-11-01,31.21,4.8,3.52,29.6472,3.440738556282688,3.3893676859085766
1964-12-01,31.25,5,3.85,29.9973,3.4420193761824107,3.4011073776119125
1965-01-01,31.28,4.9,3.9,30.3204,3.4429789156771102,3.411820753299286
1965-02-01,31.28,5.1,3.98,30.5089,3.4429789156771102,3.4180184443257584
1965-03-01,31.31,4.7,4.05,30.9128,3.443937535338314,3.4311703376124125
1965-04-01,31.38,4.8,4.09,31.0474,3.4461707473048864,3.435515068963618
1965-05-01,31.48,4.6,4.1,31.2898,3.4493524235492026,3.4432921658418905
1965-06-01,31.61,4.6,4.05,31.5321,3.4534735262275262,3.451006074574087
1965-07-01,31.58,4.4,4.09,31.8283,3.452524008827496,3.460355831133805
1965-08-01,31.55,4.4,4.12,31.963,3.4515735889872223,3.464578983826979
1965-09-01,31.62,4.3,4.02,32.0438,3.453789831781326,3.4671037169153425
1965-10-01,31.65,4.2,4.08,32.3669,3.4547381485901854,3.477136295666006
1965-11-01,31.75,4.1,4.1,32.5015,3.457892725338701,3.4812862421167896
1965-12-01,31.85,4,4.32,32.9054,3.4610373820181723,3.4936367780414597
1966-01-01,31.88,4,4.42,33.2286,3.461978853922014,3.503410950874109
1966-02-01,32.08,3.8,4.6,33.444,3.4682327829983137,3.5098723982878117
1966-03-01,32.18,3.8,4.66,33.9018,3.471345141564237,3.5234681103219234
1966-04-01,32.28,3.8,4.67,33.9556,3.474447843401748,3.525053788855813
1966-05-01,32.35,3.9,4.9,34.2787,3.4766140209469096,3.53452417002332
