"date","inflation","unemployment","interest_rate","industrial_production"
2023-03-01,301.821,3.5,4.65,101.0205
2023-04-01,302.845,3.4,4.83,101.253
2023-05-01,303.334,3.6,5.06,100.9286
2023-06-01,304.014,3.6,5.08,100.1196
2023-07-01,304.609,3.5,5.12,100.9067
2023-08-01,306.082,3.7,5.33,100.8393
2023-09-01,307.276,3.7,5.33,101.0211
2023-10-01,307.696,3.9,5.33,100.4689
2023-11-01,308.148,3.7,5.33,100.8639
2023-12-01,308.741,3.8,5.33,100.6031
2024-01-01,309.698,3.7,5.33,99.2223
2024-02-01,310.967,3.9,5.33,100.285
2024-03-01,312.345,3.9,5.33,100.4575
2024-04-01,313.023,3.9,5.33,100.2434
2024-05-01,313.175,3.9,5.33,100.863
2024-06-01,313.044,4.1,5.33,100.894
2024-07-01,313.569,4.2,5.33,99.9757
2024-08-01,314.062,4.2,5.33,100.4309
2024-09-01,314.732,4.1,5.13,99.8084
2024-10-01,315.631,4.1,4.83,99.4695
2024-11-01,316.528,4.2,4.64,99.2925
2024-12-01,317.604,4.1,4.48,100.3273
2025-01-01,318.961,4,4.33,100.0647
2025-02-01,319.679,4.2,4.33,101.0993
2025-03-01,319.785,4.2,4.33,101.0404
2025-04-01,320.302,4.2,4.33,101.1279
2025-05-01,320.62,4.3,4.33,100.9655
2025-06-01,321.435,4.1,4.33,101.4785
2025-07-01,322.169,4.3,4.33,101.894
2025-08-01,323.291,4.3,4.33,101.6247
2025-09-01,324.245,4.4,4.22,101.668
2025-11-01,325.063,4.5,3.88,101.3605
2025-12-01,326.031,4.4,3.72,101.6781
2026-01-01,326.588,4.3,3.64,102.3963
2026-02-01,327.46,4.4,3.64,102.551
